Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,1, 905866, 3535254016.000000, 0.282865, 0.000001
1,1, 1, 117306880.000000, 8.524649, 1.000000
2,2, 1263766, 5498537984.000000, 0.363733, 0.000002
3,1, 704406, 3448430848.000000, 0.289987, 0.000001
4,2, 1086803, 5465332992.000000, 0.365943, 0.000002
5,2, 1263766, 5464582912.000000, 0.365993, 0.000002
6,2, 296034, 1919490816.000000, 1.041943, 0.000007
7,1, 1, 172380928.000000, 5.801106, 1.000000
8,1, 1267055, 3419529984.000000, 0.292438, 0.000001
9,1, 2, 142174976.000000, 7.033587, 0.500000
The DUMMY algorithm took 5560 milliseconds
