Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,1, 185751, 3293562112.000000, 0.303623, 0.000005
1,1, 840768, 6780214016.000000, 0.147488, 0.000001
2,1, 93186, 2096742912.000000, 0.476930, 0.000011
3,2, 185753, 3331414016.000000, 0.600346, 0.000011
4,2, 62920, 1643201024.000000, 1.217137, 0.000032
5,3, 1432700, 12218736896.000000, 0.245525, 0.000002
6,2, 75772, 2351489792.000000, 0.850525, 0.000026
7,4, 241248, 5320296960.000000, 0.751838, 0.000017
8,1, 251345, 3208230144.000000, 0.311698, 0.000004
9,3, 89421, 2281325056.000000, 1.315025, 0.000034
The LAWQS algorithm took 12407 milliseconds
