Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,2, 801042, 7149016832.000000, 0.279759, 0.000002
1,4, 970791, 10749945088.000000, 0.372095, 0.000004
2,3, 661205, 5347081984.000000, 0.561054, 0.000005
3,4, 1301302, 12505222144.000000, 0.319866, 0.000003
4,2, 207894, 3127667968.000000, 0.639454, 0.000010
5,3, 791159, 7121236992.000000, 0.421275, 0.000004
6,2, 577750, 6568880896.000000, 0.304466, 0.000003
7,1, 193693, 2908556032.000000, 0.343813, 0.000005
8,3, 842232, 8985960960.000000, 0.333854, 0.000004
9,2, 597000, 6554862080.000000, 0.305117, 0.000003
The WQS algorithm took 12713 milliseconds
