Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,1, 134998, 4215513856.000000, 0.237219, 0.000007
1,1, 1, 326991872.000000, 3.058180, 1.000000
2,1, 140517, 3300035840.000000, 0.303027, 0.000007
3,1, 147130, 4227405056.000000, 0.236552, 0.000007
4,1, 230267, 3996037120.000000, 0.250248, 0.000004
5,1, 1, 541551104.000000, 1.846548, 1.000000
6,1, 208437, 3661549824.000000, 0.273108, 0.000005
7,1, 111122, 3928630784.000000, 0.254542, 0.000009
8,1, 111123, 3928539904.000000, 0.254547, 0.000009
9,1, 83020, 3660775936.000000, 0.273166, 0.000012
10,1, 1, 385723136.000000, 2.592533, 1.000000
11,1, 1, 322873088.000000, 3.097192, 1.000000
12,1, 257956, 3948749056.000000, 0.253245, 0.000004
13,1, 150455, 3383578880.000000, 0.295545, 0.000007
14,1, 115645, 3256233984.000000, 0.307103, 0.000009
15,1, 180395, 3147169024.000000, 0.317746, 0.000006
16,1, 1, 433979136.000000, 2.304258, 1.000000
17,1, 3, 597804800.000000, 1.672787, 0.333333
18,1, 1, 315971072.000000, 3.164847, 1.000000
19,1, 1, 322883072.000000, 3.097096, 1.000000
20,1, 70569, 3313851904.000000, 0.301764, 0.000014
21,1, 2, 313054976.000000, 3.194327, 0.500000
22,1, 1, 596446976.000000, 1.676595, 1.000000
23,1, 96124, 3577150976.000000, 0.279552, 0.000010
24,1, 2, 527974912.000000, 1.894029, 0.500000
25,1, 90280, 3523636224.000000, 0.283798, 0.000011
26,1, 222093, 3510222080.000000, 0.284882, 0.000005
27,1, 2, 570923008.000000, 1.751550, 0.500000
28,1, 1, 534874880.000000, 1.869596, 1.000000
29,1, 1, 562604032.000000, 1.777449, 1.000000
30,1, 1, 507707136.000000, 1.969639, 1.000000
31,1, 1, 512862976.000000, 1.949839, 1.000000
32,1, 83038, 3287140096.000000, 0.304216, 0.000012
33,1, 2, 1164710912.000000, 0.858582, 0.500000
34,1, 58941, 3008543232.000000, 0.332387, 0.000017
35,1, 2, 323919104.000000, 3.087191, 0.500000
36,1, 60913, 3299187968.000000, 0.303105, 0.000016
37,1, 90860, 2657357824.000000, 0.376314, 0.000011
38,1, 1, 245223168.000000, 4.077918, 1.000000
39,1, 1, 270202112.000000, 3.700933, 1.000000
40,1, 83037, 3221910784.000000, 0.310375, 0.000012
41,1, 1, 124542976.000000, 8.029357, 1.000000
42,1, 1, 1099681024.000000, 0.909355, 1.000000
43,1, 43049, 2699489024.000000, 0.370440, 0.000023
44,1, 148710, 2214820864.000000, 0.451504, 0.000007
45,1, 110613, 2077223936.000000, 0.481412, 0.000009
46,1, 1, 817473024.000000, 1.223282, 1.000000
47,1, 1, 796205056.000000, 1.255958, 1.000000
48,1, 1, 259382016.000000, 3.855317, 1.000000
49,1, 67092, 2274045952.000000, 0.439745, 0.000015
50,1, 43048, 2616698880.000000, 0.382161, 0.000023
51,1, 43047, 2616412928.000000, 0.382203, 0.000023
52,1, 1, 317356032.000000, 3.151035, 1.000000
53,1, 1, 277590016.000000, 3.602435, 1.000000
54,1, 63146, 2904043008.000000, 0.344348, 0.000016
55,1, 76585, 2875249152.000000, 0.347796, 0.000013
56,1, 110614, 1985459968.000000, 0.503662, 0.000009
57,1, 65780, 2309762048.000000, 0.432945, 0.000015
58,1, 66284, 2640823040.000000, 0.378670, 0.000015
59,1, 1, 484481792.000000, 2.064061, 1.000000
60,1, 1, 108388864.000000, 9.226040, 1.000000
61,1, 115934, 2309203968.000000, 0.433050, 0.000009
62,1, 2, 448270848.000000, 2.230794, 0.500000
63,1, 76584, 2572762880.000000, 0.388687, 0.000013
64,1, 124404, 1804281088.000000, 0.554237, 0.000008
65,1, 115933, 2268020992.000000, 0.440913, 0.000009
66,1, 426308, 5864925952.000000, 0.170505, 0.000002
67,1, 56877, 1782220032.000000, 0.561098, 0.000018
68,1, 1, 781548032.000000, 1.279512, 1.000000
69,1, 22863, 1586789888.000000, 0.630203, 0.000044
70,1, 71723, 1249852928.000000, 0.800094, 0.000014
71,1, 21506, 1581646080.000000, 0.632253, 0.000046
72,1, 40339, 1297889792.000000, 0.770481, 0.000025
73,1, 71723, 1133743104.000000, 0.882034, 0.000014
74,1, 71722, 1123680000.000000, 0.889933, 0.000014
75,1, 315999, 5367636992.000000, 0.186302, 0.000003
76,1, 71720, 1123147008.000000, 0.890355, 0.000014
77,1, 1, 279353088.000000, 3.579699, 1.000000
78,1, 81286, 1717551872.000000, 0.582224, 0.000012
79,1, 280757, 5151761920.000000, 0.194108, 0.000004
80,1, 19615, 1443074816.000000, 0.692965, 0.000051
81,1, 306670, 5348175104.000000, 0.186980, 0.000003
82,1, 71721, 986028032.000000, 1.014170, 0.000014
83,1, 1, 470878976.000000, 2.123688, 1.000000
84,1, 77182, 1571173888.000000, 0.636467, 0.000013
85,1, 44334, 1844510208.000000, 0.542149, 0.000023
86,1, 37578, 1844193024.000000, 0.542243, 0.000027
87,1, 33626, 1860335872.000000, 0.537537, 0.000030
88,1, 11573, 955428096.000000, 1.046651, 0.000086
89,1, 1, 101038848.000000, 9.897183, 1.000000
90,1, 1, 987688960.000000, 1.012464, 1.000000
